"","Gene","APAP","Control.1","Control.2"
"38103","ENSG00000105205",0,0,0
"38104","ENSG00000213921",0,0,0
"38105","ENSG00000276445",2,2,10
"38106","ENSG00000105204",174,72,97
"38107","ENSG00000277759",2,0,1
"38108","ENSG00000105202",934,447,481
"38109","ENSG00000275395",4378,183,346
"38110","ENSG00000187534",84,52,79
"38111","ENSG00000013275",1995,1300,1367
"38112","ENSG00000187187",297,282,370
"38113","ENSG00000269069",43,31,26
"38114","ENSG00000128000",770,484,718
"38115","ENSG00000197782",729,509,611
"38116","ENSG00000230086",2,0,0
"38117","ENSG00000130758",163,144,159
"38118","ENSG00000174521",6,0,0
"38119","ENSG00000105219",9,31,261
"38120","ENSG00000105221",3002,3818,4397
"38121","ENSG00000205041",57,32,66
"38122","ENSG00000207631",5,4,7
"38123","ENSG00000206674",0,4,2
"38124","ENSG00000160392",224,153,117
"38125","ENSG00000207281",4,1,0
"38126","ENSG00000206925",4,0,0
"38127","ENSG00000105223",3067,1405,1833
"38128","ENSG00000279759",249,226,167
"38129","ENSG00000275652",0,1,0
"38130","ENSG00000160396",2,0,2
"38131","ENSG00000105227",96,67,68
"38132","ENSG00000197019",314,152,131
"38133","ENSG00000277453",0,0,2
"38134","ENSG00000167565",241,226,150
"38135","ENSG00000268366",7,4,2
"38136","ENSG00000090013",2406,1937,1999
"38137","ENSG00000160460",33,25,25
"38138","ENSG00000160410",586,462,407
"38139","ENSG00000090006",851,388,554
"38140","ENSG00000105245",151,130,166
"38141","ENSG00000123815",1183,634,760
"38142","ENSG00000086544",773,556,427
"38143","ENSG00000188493",199,237,284
"38144","ENSG00000077312",782,393,471
"38145","ENSG00000261857",0,0,3
"38146","ENSG00000167578",7,29,17
"38147","ENSG00000282951",4,9,1
"38148","ENSG00000269858",358,463,257
"38149","ENSG00000233622",68,119,43
"38150","ENSG00000237118",16,51,35
"38151","ENSG00000269843",11,15,16
"38152","ENSG00000279108",52,94,239
"38153","ENSG00000255974",2836,6691,23643
"38154","ENSG00000198077",355,734,2688
"38155","ENSG00000130612",12,14,5
"38156","ENSG00000256612",375,1693,2109
"38157","ENSG00000269353",3,13,14
"38158","ENSG00000197408",6053,24560,3448
"38159","ENSG00000213908",0,6,44
"38160","ENSG00000268101",0,2,0
"38161","ENSG00000197838",5,18,22
"38162","ENSG00000197446",4,1,1
"38163","ENSG00000268529",3,0,5
"38164","ENSG00000167600",87,15,24
"38165","ENSG00000167601",1152,548,887
"38166","ENSG00000269652",2,0,2
"38167","ENSG00000105323",4153,2298,2076
"38168","ENSG00000239868",2,8,0
"38169","ENSG00000105329",561,288,254
"38170","ENSG00000286177",42,27,33
"38171","ENSG00000142039",485,223,253
"38172","ENSG00000142046",60,29,26
"38173","ENSG00000123810",26,25,26
"38174","ENSG00000277744",11,2,2
"38175","ENSG00000077348",255,168,210
"38176","ENSG00000248098",25,23,47
"38177","ENSG00000268987",3,3,5
"38178","ENSG00000177191",50,34,21
"38179","ENSG00000105341",461,371,416
"38180","ENSG00000267107",94,69,57
"38181","ENSG00000268034",14,2,5
"38182","ENSG00000269800",14,8,23
"38183","ENSG00000268355",8,1,4
"38184","ENSG00000270164",4,0,0
"38185","ENSG00000268027",9,6,5
"38186","ENSG00000007129",17,3,19
"38187","ENSG00000280014",3,1,0
"38188","ENSG00000239736",0,2,0
"38189","ENSG00000105352",2,8,13
"38190","ENSG00000086548",104,0,2
"38191","ENSG00000268833",0,2,0
"38192","ENSG00000170956",14,6,16
"38193","ENSG00000278239",0,0,0
"38194","ENSG00000273111",3,0,0
"38195","ENSG00000142025",0,0,2
"38196","ENSG00000105372",7325,4264,6002
"38197","ENSG00000276926",6,5,3
"38198","ENSG00000105369",11,1,6
"38199","ENSG00000076928",1224,940,729
"38200","ENSG00000268041",8,3,4
"38201","ENSG00000105404",141,336,174
"38202","ENSG00000105409",0,0,0
"38203","ENSG00000105737",2,2,7
"38204","ENSG00000105732",242,186,173
"38205","ENSG00000028277",172,59,60
"38206","ENSG00000254887",4,3,4
"38207","ENSG00000266226",1,2,1
"38208","ENSG00000259436",7,8,0
"38209","ENSG00000160570",467,342,329
"38210","ENSG00000167625",275,191,218
"38211","ENSG00000105723",398,320,273
"38212","ENSG00000279539",20,22,19
"38213","ENSG00000105722",692,835,507
"38214","ENSG00000079432",3019,2611,1744
"38215","ENSG00000079462",122,38,25
"38216","ENSG00000188368",10,7,5
"38217","ENSG00000167619",0,2,6
"38218","ENSG00000105429",1343,1775,1486
"38219","ENSG00000105427",4,2,0
"38220","ENSG00000213904",11,19,7
"38221","ENSG00000079435",47,54,18
