"","Gene","APAP","Control.1","Control.2"
"2699","ENSG00000198400",7,12,2
"2700","ENSG00000027644",5,8,8
"2701","ENSG00000187800",282,267,239
"2702","ENSG00000160838",11,2,4
"2703","ENSG00000132694",2898,1763,1795
"2704","ENSG00000211581",5,4,3
"2705","ENSG00000266160",4,4,1
"2706","ENSG00000237842",49,27,25
"2707","ENSG00000224520",9,1,3
"2708","ENSG00000253831",10,5,5
"2709","ENSG00000117036",813,504,432
"2710","ENSG00000235700",7,5,2
"2711","ENSG00000229961",3,0,0
"2712","ENSG00000271736",8,8,1
"2713","ENSG00000286073",4,2,0
"2714","ENSG00000286151",0,1,0
"2715","ENSG00000143297",91,27,29
"2716","ENSG00000163518",0,2,0
"2717","ENSG00000160856",23,25,8
"2718","ENSG00000227217",0,1,0
"2719","ENSG00000231700",0,1,2
"2720","ENSG00000132704",11,2,2
"2721","ENSG00000163534",18,22,2
"2722","ENSG00000073754",760,285,497
"2723","ENSG00000236957",0,0,0
"2724","ENSG00000183853",1349,393,331
"2725","ENSG00000226520",10,10,0
"2726","ENSG00000231666",0,0,1
"2727","ENSG00000227295",15,37,22
"2728","ENSG00000158473",456,279,416
"2729","ENSG00000176320",4,0,0
"2730","ENSG00000158477",0,0,0
"2731","ENSG00000158481",23,1,2
"2732","ENSG00000158485",2,2,0
"2733","ENSG00000158488",4,0,0
"2734","ENSG00000236257",2,4,0
"2735","ENSG00000173285",1,1,0
"2736","ENSG00000198703",1,0,0
"2737","ENSG00000231434",13,14,9
"2738","ENSG00000186440",0,0,0
"2739","ENSG00000198967",3,0,0
"2740","ENSG00000163554",9,6,8
"2741","ENSG00000188340",0,0,0
"2742","ENSG00000180409",0,4,0
"2743","ENSG00000163563",312,225,210
"2744","ENSG00000163564",27,51,16
"2745","ENSG00000163565",1341,494,494
"2746","ENSG00000163568",5,8,37
"2747","ENSG00000162706",7,6,2
"2748","ENSG00000225670",2,0,0
"2749","ENSG00000213088",43,2,0
"2750","ENSG00000179639",10,8,1
"2751","ENSG00000228560",19,12,48
"2752","ENSG00000248442",2,4,0
"2753","ENSG00000251686",0,0,2
"2754","ENSG00000249197",2,10,4
"2755","ENSG00000249730",1,8,2
"2756","ENSG00000196184",10,8,2
"2757","ENSG00000224943",69,23,112
"2758","ENSG00000184155",34,35,47
"2759","ENSG00000231100",26,107,113
"2760","ENSG00000271890",1,0,0
"2761","ENSG00000132703",26204,41639,38541
"2762","ENSG00000158731",449,649,294
"2763","ENSG00000276632",2,3,2
"2764","ENSG00000223603",20,15,7
"2765","ENSG00000132693",75229,222769,152452
"2766","ENSG00000235226",0,1,3
"2767","ENSG00000158716",677,907,885
"2768","ENSG00000181036",28,25,15
"2769","ENSG00000158714",121,4,33
"2770","ENSG00000256029",1,0,4
"2771","ENSG00000188004",2,0,0
"2772","ENSG00000212161",0,0,0
"2773","ENSG00000272668",15,30,39
"2774","ENSG00000213085",11,8,2
"2775","ENSG00000279430",4,2,1
"2776","ENSG00000158710",4908,1391,1379
"2777","ENSG00000085552",425,1554,2375
"2778","ENSG00000162723",35,37,75
"2779","ENSG00000224259",89,51,53
"2780","ENSG00000273933",18,25,28
"2781","ENSG00000177807",66,28,69
"2782","ENSG00000237409",0,10,1
"2783","ENSG00000143315",696,691,483
"2784","ENSG00000225279",2,0,0
"2785","ENSG00000162728",4,12,8
"2786","ENSG00000162729",581,717,1100
"2787","ENSG00000018625",20,9,17
"2788","ENSG00000132681",2,0,0
"2789","ENSG00000143318",4,16,4
"2790","ENSG00000227741",33,51,13
"2791","ENSG00000162734",2098,888,753
"2792","ENSG00000132716",2066,2117,2208
"2793","ENSG00000258465",0,1,1
"2794","ENSG00000228606",77,49,60
"2795","ENSG00000224261",10,14,0
"2796","ENSG00000162735",1495,1716,1553
"2797","ENSG00000122218",7078,6215,6753
"2798","ENSG00000235082",56,46,44
"2799","ENSG00000202078",33,20,21
"2800","ENSG00000162736",2355,1706,1671
"2801","ENSG00000171786",2,0,4
"2802","ENSG00000162738",41,5,8
"2803","ENSG00000162739",51,23,37
"2804","ENSG00000234425",13,0,0
"2805","ENSG00000066294",2837,267,312
"2806","ENSG00000117090",45,15,14
"2807","ENSG00000235101",0,2,0
"2808","ENSG00000228863",19,16,13
"2809","ENSG00000117091",101,50,37
"2810","ENSG00000026751",186,43,58
"2811","ENSG00000122224",38,22,6
"2812","ENSG00000122223",126,42,41
"2813","ENSG00000226003",2,0,2
"2814","ENSG00000179914",41,12,9
"2815","ENSG00000213080",52,20,13
"2816","ENSG00000198358",0,0,0
"2817","ENSG00000233691",0,0,0
"2818","ENSG00000158764",4,0,8
"2819","ENSG00000158769",2116,2477,2325
"2820","ENSG00000270149",2,2,1
"2821","ENSG00000232879",2,6,3
"2822","ENSG00000215845",209,124,327
"2823","ENSG00000158773",986,792,830
"2824","ENSG00000186517",831,300,250
"2825","ENSG00000143217",22,0,0
"2826","ENSG00000162755",27,19,58
"2827","ENSG00000143256",322,202,234
"2828","ENSG00000158793",884,871,1041
"2829","ENSG00000158796",571,443,428
"2830","ENSG00000238934",0,0,1
"2831","ENSG00000143222",810,532,676
"2832","ENSG00000224985",6,2,5
"2833","ENSG00000143258",206,219,240
"2834","ENSG00000143224",234,171,172
"2835","ENSG00000158850",399,441,361
"2836","ENSG00000158859",525,449,224
"2837","ENSG00000158864",4189,2887,3671
"2838","ENSG00000158869",1245,234,512
"2839","ENSG00000158874",85362,37712,50290
"2840","ENSG00000158882",721,533,633
"2841","ENSG00000284035",1,1,7
"2842","ENSG00000143257",442,1427,1569
"2843","ENSG00000248485",102,79,199
"2844","ENSG00000158887",539,36,29
"2845","ENSG00000143252",1205,1059,1402
"2846","ENSG00000188931",208,221,375
"2847","ENSG00000288670",194,204,302
"2848","ENSG00000236484",0,0,0
"2849","ENSG00000283696",2,13,4
"2850","ENSG00000288093",16,15,12
"2851","ENSG00000283360",12,7,4
"2852","ENSG00000215840",16,3,6
"2853","ENSG00000277882",4,4,2
"2854","ENSG00000283317",1,5,0
"2855","ENSG00000143226",1048,325,436
"2856","ENSG00000273112",1,0,2
"2857","ENSG00000173110",103,70,77
"2858","ENSG00000224203",0,4,2
"2859","ENSG00000203747",2916,761,2566
"2860","ENSG00000224515",0,0,0
"2861","ENSG00000244682",169,101,127
"2862","ENSG00000225217",63,41,21
"2863","ENSG00000162747",201,199,473
"2864","ENSG00000072694",421,321,426
"2865","ENSG00000234211",5,0,2
"2866","ENSG00000213075",14,4,9
"2867","ENSG00000132185",14,2,0
"2868","ENSG00000162746",28,9,21
"2869","ENSG00000081721",328,183,188
"2870","ENSG00000226889",0,4,2
"2871","ENSG00000118217",2854,3101,2917
"2872","ENSG00000229808",48,63,72
"2873","ENSG00000162745",177,23,41
"2874","ENSG00000227818",0,2,0
"2875","ENSG00000198929",296,559,1546
"2876","ENSG00000285636",78,168,289
"2877","ENSG00000266144",5,6,20
"2878","ENSG00000227094",4,21,56
"2879","ENSG00000252262",2,0,8
"2880","ENSG00000207729",2,1,9
"2881","ENSG00000171722",56,119,437
"2882","ENSG00000239887",302,659,1722
"2883","ENSG00000198574",12,32,20
"2884","ENSG00000227243",2,0,0
"2885","ENSG00000152332",5450,5414,6206
"2886","ENSG00000259788",2,4,2
"2887","ENSG00000117143",2250,3105,2344
"2888","ENSG00000272574",54,124,62
"2889","ENSG00000162733",780,633,367
"2890","ENSG00000243173",2,4,2
"2891","ENSG00000132196",510,1508,2045
"2892","ENSG00000185860",0,2,3
"2893","ENSG00000230739",1,0,0
"2894","ENSG00000117152",196,35,51
"2895","ENSG00000143248",1866,483,278
"2896","ENSG00000232892",11,12,6
"2897","ENSG00000225755",10,0,4
"2898","ENSG00000232995",99,37,66
"2899","ENSG00000237756",7,11,9
"2900","ENSG00000143228",387,8,8
"2901","ENSG00000213070",0,0,2
"2902","ENSG00000185630",1146,530,619
"2903","ENSG00000207082",7,11,4
"2904","ENSG00000269887",23,14,28
"2905","ENSG00000276359",8,2,2
"2906","ENSG00000233693",26,8,17
"2907","ENSG00000271917",15,2,9
"2908","ENSG00000143171",12,2,8
"2909","ENSG00000162763",0,0,1
"2910","ENSG00000143198",1755,1374,1777
"2911","ENSG00000143149",3771,2556,4438
"2912","ENSG00000230175",13,8,10
"2913","ENSG00000225272",21,10,10
"2914","ENSG00000215838",0,1,4
"2915","ENSG00000273365",0,4,2
"2916","ENSG00000143183",2455,1944,2163
"2917","ENSG00000224358",55,23,16
"2918","ENSG00000230659",2,0,0
"2919","ENSG00000143179",738,547,475
"2920","ENSG00000236364",69,97,58
"2921","ENSG00000271527",0,2,4
"2922","ENSG00000226292",3,0,0
"2923","ENSG00000188859",46,26,81
"2924","ENSG00000203307",10,5,12
"2925","ENSG00000230898",10,7,17
"2926","ENSG00000215952",2,4,3
"2927","ENSG00000229588",3,0,1
"2928","ENSG00000215835",94,43,50
"2929","ENSG00000230231",4,0,3
"2930","ENSG00000234142",2,1,0
"2931","ENSG00000238087",0,0,0
"2932","ENSG00000232341",2,3,1
"2933","ENSG00000143157",1969,1459,1342
"2934","ENSG00000152382",562,766,737
"2935","ENSG00000225171",26,35,30
"2936","ENSG00000143195",423,306,144
"2937","ENSG00000143194",8,18,2
"2938","ENSG00000143167",4,5,0
"2939","ENSG00000198842",0,0,2
"2940","ENSG00000231605",0,0,0
"2941","ENSG00000272205",4,0,2
"2942","ENSG00000143190",1733,1581,1101
"2943","ENSG00000272033",60,62,35
"2944","ENSG00000198821",53,47,43
"2945","ENSG00000287218",13,26,23
"2946","ENSG00000273160",6,10,5
"2947","ENSG00000227776",0,0,0
"2948","ENSG00000143162",3922,2922,4940
"2949","ENSG00000231029",0,1,2
"2950","ENSG00000241666",4,5,8
"2951","ENSG00000198771",328,208,340
"2952","ENSG00000197965",2257,1438,1571
"2953","ENSG00000143199",156,193,329
"2954","ENSG00000250762",3,3,0
"2955","ENSG00000232194",2,2,0
"2956","ENSG00000143158",2104,3352,3252
"2957","ENSG00000143164",2953,4881,4861
"2958","ENSG00000221545",3,7,6
"2959","ENSG00000224837",215,128,158
"2960","ENSG00000143147",220,154,71
"2961","ENSG00000143155",1274,759,794
"2962","ENSG00000237049",0,0,0
"2963","ENSG00000213064",5374,3318,3230
"2964","ENSG00000206880",4,1,4
"2965","ENSG00000143178",77,48,38
"2966","ENSG00000227722",0,3,8
"2967","ENSG00000228697",161,88,140
"2968","ENSG00000215833",75,38,74
"2969","ENSG00000143185",10,6,6
"2970","ENSG00000227777",2,0,2
"2971","ENSG00000143184",11,4,2
"2972","ENSG00000143196",44,25,15
"2973","ENSG00000285622",0,0,1
"2974","ENSG00000229612",0,2,0
"2975","ENSG00000287831",2,0,0
"2976","ENSG00000237707",1,2,2
"2977","ENSG00000143153",4359,2138,1791
"2978","ENSG00000143156",229,165,177
"2979","ENSG00000235575",4,1,4
"2980","ENSG00000117475",875,493,449
"2981","ENSG00000117477",50,13,26
"2982","ENSG00000117479",792,803,740
"2983","ENSG00000234604",19,20,11
"2984","ENSG00000213062",131,161,135
"2985","ENSG00000198734",14898,17647,14092
"2986","ENSG00000174175",137,54,85
"2987","ENSG00000000460",400,247,133
"2988","ENSG00000188404",134,216,154
"2989","ENSG00000007908",265,174,168
"2990","ENSG00000230704",4,12,11
"2991","ENSG00000171806",147,106,110
"2992","ENSG00000000457",821,540,661
"2993","ENSG00000239494",17,24,10
"2994","ENSG00000075945",502,419,435
"2995","ENSG00000243051",6,3,8
"2996","ENSG00000235378",9,0,2
"2997","ENSG00000232959",3,3,2
"2998","ENSG00000231407",20,3,3
"2999","ENSG00000120370",505,251,237
"3000","ENSG00000235303",1,0,2
"3001","ENSG00000116132",56,11,16
"3002","ENSG00000271811",0,2,0
"3003","ENSG00000231424",7,7,34
"3004","ENSG00000117501",2,6,27
"3005","ENSG00000226552",2,8,5
"3006","ENSG00000007933",13214,6196,9364
"3007","ENSG00000221390",6,3,4
"3008","ENSG00000117507",20,13,41
"3009","ENSG00000094963",67,66,320
"3010","ENSG00000225243",2,1,2
"3011","ENSG00000010932",83,0,61
"3012","ENSG00000076258",440,740,1040
"3013","ENSG00000285665",51,67,61
"3014","ENSG00000268062",11,18,12
"3015","ENSG00000117523",8558,5396,5049
"3016","ENSG00000283683",2,8,2
"3017","ENSG00000034971",3,0,0
"3018","ENSG00000233328",137,46,67
"3019","ENSG00000230364",10,8,12
"3020","ENSG00000117533",392,400,367
"3021","ENSG00000236741",2,0,0
"3022","ENSG00000010165",702,575,586
"3023","ENSG00000213060",0,0,2
"3024","ENSG00000197959",141,135,100
"3025","ENSG00000233540",6,8,11
"3026","ENSG00000230630",347,139,96
"3027","ENSG00000287336",9,2,5
"3028","ENSG00000206684",2,2,0
"3029","ENSG00000135845",490,296,325
"3030","ENSG00000180999",24,7,3
"3031","ENSG00000094975",1764,788,871
"3032","ENSG00000117560",10,5,14
"3033","ENSG00000229785",1,5,6
"3034","ENSG00000224228",0,0,2
"3035","ENSG00000227177",2,0,0
"3036","ENSG00000224000",0,0,0
"3037","ENSG00000120337",14,0,0
"3038","ENSG00000230849",13,9,4
"3039","ENSG00000226375",0,0,1
"3040","ENSG00000117586",59,43,68
"3041","ENSG00000232751",9,2,7
"3042","ENSG00000231615",36,12,63
"3043","ENSG00000203739",233,179,321
"3044","ENSG00000117592",6246,5659,11057
"3045","ENSG00000162753",0,4,6
"3046","ENSG00000238272",0,2,0
"3047","ENSG00000183831",0,2,0
"3048","ENSG00000076321",634,569,719
"3049","ENSG00000225591",13,12,23
"3050","ENSG00000200674",3,4,16
"3051","ENSG00000120334",276,50,68
"3052","ENSG00000252357",1,0,0
"3053","ENSG00000117593",1369,856,752
"3054","ENSG00000234741",1931,1190,931
"3055","ENSG00000270084",94,102,34
"3056","ENSG00000185278",1706,1221,1361
"3057","ENSG00000117601",26348,33314,60510
"3058","ENSG00000252231",7,0,0
"3059","ENSG00000135870",3159,2558,2813
"3060","ENSG00000200755",4,0,6
"3061","ENSG00000236535",29,33,24
"3062","ENSG00000224977",1,0,0
"3063","ENSG00000227373",24,13,14
"3064","ENSG00000152061",2044,1349,1430
"3065","ENSG00000237317",17,9,21
"3066","ENSG00000203737",124,60,91
"3067","ENSG00000223828",7,13,5
"3068","ENSG00000231378",21,20,16
"3069","ENSG00000237249",12,3,8
"3070","ENSG00000223525",18,14,21
"3071","ENSG00000235869",9,11,6
"3072","ENSG00000229531",22,12,16
"3073","ENSG00000252552",2,3,3
"3074","ENSG00000287697",19,11,20
"3075","ENSG00000116161",893,612,928
"3076","ENSG00000120333",618,532,635
"3077","ENSG00000206659",4,0,0
"3078","ENSG00000181101",2,4,6
"3079","ENSG00000120332",78,62,56
"3080","ENSG00000235750",603,859,641
"3081","ENSG00000116147",2,30,2
"3082","ENSG00000224718",0,0,2
"3083","ENSG00000227740",7,23,14
"3084","ENSG00000230777",3,5,2
"3085","ENSG00000143207",1743,1258,1221
"3086","ENSG00000252906",35,7,13
"3087","ENSG00000228686",51,42,30
"3088","ENSG00000236021",3,9,13
"3089","ENSG00000273629",0,2,0
"3090","ENSG00000232463",0,3,2
"3091","ENSG00000227815",3,2,2
"3092","ENSG00000116183",120,447,59
"3093","ENSG00000237514",0,4,4
"3094","ENSG00000286754",6,0,0
"3095","ENSG00000152092",20,4,47
"3096","ENSG00000198797",2,6,8
"3097","ENSG00000224968",11,3,7
"3098","ENSG00000227579",0,3,1
"3099","ENSG00000120341",248,307,200
"3100","ENSG00000254154",434,593,404
"3101","ENSG00000242193",1326,1321,1258
"3102","ENSG00000276563",20,28,8
"3103","ENSG00000224687",31,21,24
"3104","ENSG00000075391",1157,742,749
"3105","ENSG00000270575",34,7,14
"3106","ENSG00000213058",9,8,6
"3107","ENSG00000188585",2,0,0
"3108","ENSG00000240021",1,0,3
"3109","ENSG00000213057",77,33,14
"3110","ENSG00000201347",3,0,0
"3111","ENSG00000273384",14,0,6
"3112","ENSG00000266417",0,3,0
"3113","ENSG00000273062",48,43,33
"3114","ENSG00000116191",2503,2415,2130
"3115","ENSG00000228196",43,42,32
"3116","ENSG00000201791",6,5,1
"3117","ENSG00000116194",418,384,365
"3118","ENSG00000116199",2032,1534,1482
"3119","ENSG00000232750",13,6,6
"3120","ENSG00000186283",620,559,412
"3121","ENSG00000143322",1746,1711,1131
"3122","ENSG00000234041",5,4,0
"3123","ENSG00000231905",24,32,14
"3124","ENSG00000212338",4,15,9
"3125","ENSG00000201619",10,15,13
"3126","ENSG00000231564",16,19,20
"3127","ENSG00000225711",34,71,48
"3128","ENSG00000057252",1958,1239,1321
"3129","ENSG00000162779",11,12,4
"3130","ENSG00000236539",8,2,9
"3131","ENSG00000116218",0,0,2
"3132","ENSG00000227141",0,0,0
"3133","ENSG00000162782",0,2,0
"3134","ENSG00000143340",14,12,9
"3135","ENSG00000229407",0,0,1
"3136","ENSG00000231966",6,5,10
"3137","ENSG00000169905",4809,9868,8780
"3138","ENSG00000272906",8,4,9
"3139","ENSG00000143337",1135,1091,1204
"3140","ENSG00000264916",5,9,2
"3141","ENSG00000261831",0,1,0
"3142","ENSG00000260360",4,1,2
"3143","ENSG00000135837",4244,3234,3572
"3144","ENSG00000235145",52,12,43
"3145","ENSG00000223450",31,25,37
"3146","ENSG00000116260",3983,1522,1477
"3147","ENSG00000121454",144,92,105
"3148","ENSG00000230124",816,398,448
"3149","ENSG00000235060",9,14,3
"3150","ENSG00000265435",0,0,1
"3151","ENSG00000143324",1055,706,792
"3152","ENSG00000283575",1,6,1
"3153","ENSG00000225857",1,2,2
"3154","ENSG00000135835",91,44,28
"3155","ENSG00000243155",9,10,5
"3156","ENSG00000232586",2,5,2
"3157","ENSG00000251520",8,17,7
"3158","ENSG00000270711",4,15,12
"3159","ENSG00000135823",618,332,360
"3160","ENSG00000153029",952,306,423
"3161","ENSG00000162783",359,201,137
"3162","ENSG00000225359",0,0,0
"3163","ENSG00000179452",1,1,0
"3164","ENSG00000198216",16,22,10
"3165","ENSG00000273573",2,0,0
"3166","ENSG00000288574",0,0,0
"3167","ENSG00000179930",110,6,17
"3168","ENSG00000224810",53,10,6
"3169","ENSG00000225982",25,1,4
"3170","ENSG00000228918",532,54,35
"3171","ENSG00000232309",43,7,2
"3172","ENSG00000232096",23,6,0
"3173","ENSG00000231684",5,2,4
"3174","ENSG00000135821",24590,9492,7519
"3175","ENSG00000203730",16,0,6
"3176","ENSG00000203729",0,2,0
"3177","ENSG00000121446",11,0,0
"3178","ENSG00000270443",2,0,0
"3179","ENSG00000135828",301,143,198
"3180","ENSG00000276839",0,0,0
"3181","ENSG00000143333",275,73,6
"3182","ENSG00000261504",2,12,2
"3183","ENSG00000135824",0,0,0
"3184","ENSG00000135838",1738,485,371
"3185","ENSG00000287808",12,5,5
"3186","ENSG00000135829",4179,2810,2649
"3187","ENSG00000224040",1,2,0
"3188","ENSG00000176855",6,2,5
"3189","ENSG00000135862",4668,2503,2298
"3190","ENSG00000224468",14,10,7
"3191","ENSG00000058085",189,29,11
"3192","ENSG00000157064",8,4,5
"3193","ENSG00000287929",0,1,0
"3194","ENSG00000232860",38,38,37
"3195","ENSG00000116698",1738,1623,1506
"3196","ENSG00000116701",1039,470,371
"3197","ENSG00000286966",0,0,0
"3198","ENSG00000162704",3317,1461,1583
"3199","ENSG00000143344",1715,655,1003
"3200","ENSG00000173627",135,10,34
"3201","ENSG00000270994",26,4,8
"3202","ENSG00000227554",23,4,2
"3203","ENSG00000198756",28,19,9
"3204","ENSG00000198860",675,489,416
"3205","ENSG00000286655",47,39,34
"3206","ENSG00000271387",2,0,2
"3207","ENSG00000116667",956,1088,2660
"3208","ENSG00000230470",5,22,5
"3209","ENSG00000232036",23,11,11
"3210","ENSG00000285847",99,80,227
"3211","ENSG00000286378",0,0,2
"3212","ENSG00000116406",4661,2716,6314
"3213","ENSG00000135842",783,404,297
"3214","ENSG00000121481",446,239,271
"3215","ENSG00000232792",2,6,3
"3216","ENSG00000121486",607,548,808
"3217","ENSG00000116668",257,313,305
"3218","ENSG00000231084",1,7,14
"3219","ENSG00000213051",8,2,4
"3220","ENSG00000201421",1,1,0
"3221","ENSG00000206640",3,2,0
"3222","ENSG00000233583",12,12,14
"3223","ENSG00000252612",0,4,5
"3224","ENSG00000238061",6,14,8
"3225","ENSG00000279838",68,58,83
"3226","ENSG00000116679",2858,2662,5076
"3227","ENSG00000273004",6,2,12
"3228","ENSG00000261024",10,5,8
"3229","ENSG00000279401",2,0,0
"3230","ENSG00000228309",0,0,4
"3231","ENSG00000143341",4241,1819,2067
"3232","ENSG00000224691",3,3,0
"3233","ENSG00000288078",0,0,0
"3234","ENSG00000116690",4729,7368,6242
"3235","ENSG00000047410",5525,4367,3365
"3236","ENSG00000157181",1162,1468,1132
"3237","ENSG00000229739",108,127,74
"3238","ENSG00000116703",18,41,18
"3239","ENSG00000273198",2,0,4
"3240","ENSG00000228238",2,0,5
"3241","ENSG00000233196",2,0,4
"3242","ENSG00000073756",643,102,44
"3243","ENSG00000273129",0,6,4
"3244","ENSG00000116711",119,38,114
"3245","ENSG00000230426",1,1,0
"3246","ENSG00000225462",0,3,8
"3247","ENSG00000285894",2,0,0
"3248","ENSG00000222240",1,0,0
"3249","ENSG00000261182",0,0,2
"3250","ENSG00000235083",0,0,0
"3251","ENSG00000252553",0,0,0
"3252","ENSG00000232212",0,0,2
"3253","ENSG00000287472",3,0,0
"3254","ENSG00000237457",0,0,1
"3255","ENSG00000150681",53,60,31
"3256","ENSG00000285280",41,36,50
"3257","ENSG00000226723",1,2,1
"3258","ENSG00000236792",15,7,3
"3259","ENSG00000236069",2,0,0
"3260","ENSG00000090104",1702,118,160
"3261","ENSG00000127074",6,5,9
"3262","ENSG00000231767",3,1,3
"3263","ENSG00000228687",0,0,1
"3264","ENSG00000116741",611,187,131
"3265","ENSG00000234473",58,61,52
"3266","ENSG00000116750",1284,1019,914
"3267","ENSG00000238754",10,7,4
"3268","ENSG00000116747",2322,1677,1921
"3269","ENSG00000023572",607,553,496
"3270","ENSG00000134371",1524,1082,1115
"3271","ENSG00000221680",1,0,0
"3272","ENSG00000162630",180,131,105
"3273","ENSG00000276735",0,6,0
"3274","ENSG00000232077",6,9,6
"3275","ENSG00000286285",4,9,4
"3276","ENSG00000227240",557,79,64
"3277","ENSG00000226640",153,15,19
"3278","ENSG00000237011",339,16,37
"3279","ENSG00000237213",94,16,9
"3280","ENSG00000233057",165,18,17
"3281","ENSG00000231714",0,0,0
"3282","ENSG00000287364",0,0,0
"3283","ENSG00000162687",1533,1953,1403
"3284","ENSG00000265986",6,10,14
"3285","ENSG00000000971",60361,87437,77758
"3286","ENSG00000116785",7084,268,17075
"3287","ENSG00000244414",12345,2017,30259
"3288","ENSG00000285986",2,7,5
"3289","ENSG00000134365",1422,1841,3564
"3290","ENSG00000080910",5529,8498,10961
"3291","ENSG00000273844",0,0,1
"3292","ENSG00000134389",3002,5272,3355
"3293","ENSG00000143278",2742,4368,2502
"3294","ENSG00000066279",7761,37,105
"3295","ENSG00000235748",43,0,0
"3296","ENSG00000177888",1335,754,898
"3297","ENSG00000237861",11,0,0
"3298","ENSG00000134376",5,0,2
"3299","ENSG00000213047",1364,1026,868
"3300","ENSG00000207139",8,1,3
"3301","ENSG00000213046",50,35,30
"3302","ENSG00000235582",4,6,10
"3303","ENSG00000233040",20,42,20
"3304","ENSG00000224901",10,13,5
"3305","ENSG00000203724",70,51,77
"3306","ENSG00000143355",29,8,27
"3307","ENSG00000151414",1817,1231,1241
"3308","ENSG00000232824",15,14,8
"3309","ENSG00000081237",1898,1151,1075
"3310","ENSG00000261573",20,17,11
"3311","ENSG00000236278",10,10,5
"3312","ENSG00000229989",76,57,27
"3313","ENSG00000207975",0,0,0
"3314","ENSG00000225172",0,0,0
"3315","ENSG00000235492",0,0,2
"3316","ENSG00000286541",0,0,0
"3317","ENSG00000231718",0,2,0
"3318","ENSG00000228190",2,0,0
"3319","ENSG00000202491",1,0,0
"3320","ENSG00000116833",2290,2556,2351
"3321","ENSG00000252860",30,48,29
"3322","ENSG00000229220",44,62,58
"3323","ENSG00000233827",6,0,0
"3324","ENSG00000203721",101,156,230
"3325","ENSG00000273093",19,3,4
"3326","ENSG00000213045",0,2,7
"3327","ENSG00000230623",431,179,260
"3328","ENSG00000162702",1584,1367,1368
"3329","ENSG00000282849",7,1,4
"3330","ENSG00000118193",961,27,40
"3331","ENSG00000118197",476,433,345
"3332","ENSG00000260088",2,0,1
"3333","ENSG00000118200",1639,891,808
"3334","ENSG00000231333",5,7,10
"3335","ENSG00000170128",4,0,0
"3336","ENSG00000163362",163,10,14
"3337","ENSG00000233217",6,1,0
"3338","ENSG00000116852",712,207,125
"3339","ENSG00000229191",0,0,2
"3340","ENSG00000081248",1,0,0
"3341","ENSG00000232237",0,0,2
"3342","ENSG00000116857",825,611,633
"3343","ENSG00000163395",60,2,16
"3344","ENSG00000229821",2,0,1
"3345","ENSG00000081277",0,0,0
"3346","ENSG00000118194",9,0,2
"3347","ENSG00000159166",968,260,256
"3348","ENSG00000282221",81,67,48
"3349","ENSG00000159173",151,90,75
"3350","ENSG00000174307",260,26,42
"3351","ENSG00000159176",6960,2175,2378
"3352","ENSG00000224536",99,61,113
"3353","ENSG00000223396",137,108,161
"3354","ENSG00000134369",1277,459,383
"3355","ENSG00000236390",7,11,5
"3356","ENSG00000231871",6,2,7
"3357","ENSG00000264802",1,1,1
"3358","ENSG00000235121",26,17,9
"3359","ENSG00000200942",3,0,0
"3360","ENSG00000198700",2567,1840,2184
"3361","ENSG00000277681",0,7,2
"3362","ENSG00000198892",90,43,95
"3363","ENSG00000223774",0,0,0
"3364","ENSG00000163431",96,59,49
"3365","ENSG00000134375",2098,1426,1588
"3366","ENSG00000206637",2,2,0
"3367","ENSG00000238003",2,5,2
"3368","ENSG00000176393",1019,502,634
"3369","ENSG00000234678",250,164,152
"3370","ENSG00000275207",8,0,8
"3371","ENSG00000163435",2294,906,1063
"3372","ENSG00000249007",60,24,23
"3373","ENSG00000235811",2,0,0
"3374","ENSG00000227109",1,0,0
"3375","ENSG00000170075",36,20,34
"3376","ENSG00000143862",816,469,359
"3377","ENSG00000143851",249,74,28
"3378","ENSG00000243323",50,30,12
"3379","ENSG00000133067",70,10,32
"3380","ENSG00000077152",222,10,22
"3381","ENSG00000077157",2515,2570,1907
"3382","ENSG00000229120",6,14,17
"3383","ENSG00000272262",1,0,0
"3384","ENSG00000232626",38,28,29
"3385","ENSG00000236439",17,20,51
"3386","ENSG00000253042",5,16,10
"3387","ENSG00000143858",142,114,90
"3388","ENSG00000226862",11,11,4
"3389","ENSG00000117139",1435,1231,1241
"3390","ENSG00000235449",8,7,10
"3391","ENSG00000226148",10,23,25
"3392","ENSG00000228288",5,10,0
"3393","ENSG00000214796",87,15,34
"3394","ENSG00000234996",16,8,9
"3395","ENSG00000183155",301,199,241
"3396","ENSG00000117153",1050,636,858
"3397","ENSG00000230280",30,18,38
"3398","ENSG00000199471",4,3,5
"3399","ENSG00000159346",2097,2209,2536
"3400","ENSG00000159348",834,718,834
"3401","ENSG00000163444",948,876,1109
"3402","ENSG00000143847",16,13,23
"3403","ENSG00000122180",2,0,0
"3404","ENSG00000163485",32,8,9
"3405","ENSG00000234775",4,0,0
"3406","ENSG00000224671",0,0,0
"3407","ENSG00000133055",3,0,0
"3408","ENSG00000133048",3855,1898,1149
"3409","ENSG00000133063",13,8,6
"3410","ENSG00000231507",7,2,0
"3411","ENSG00000233791",2,0,0
"3412","ENSG00000159388",973,156,137
"3413","ENSG00000122176",597,212,152
"3414","ENSG00000188783",219,193,353
"3415","ENSG00000188770",1,0,0
"3416","ENSG00000058668",2667,7556,6242
"3417","ENSG00000236035",23,83,53
"3418","ENSG00000221643",3,29,8
"3419","ENSG00000122188",38,26,17
